epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8515,1.4035,3.20347,1.19003,0.00328,1,0.54902,0.37104,1.10844,3.13015,0.90632,0.000653595,0.000653595,0.000653595
2,183.492,1.12092,1.7616,1.02592,0.92847,0.81726,0.94025,0.65431,1.07076,1.81368,0.91893,0.00118956,0.00118956,0.00118956
3,282.347,1.10188,1.44276,0.99818,0.8619,0.89848,0.93425,0.60367,1.20781,1.3501,0.96939,0.00159352,0.00159352,0.00159352
4,369.738,1.08741,1.19426,1.00107,0.95157,0.92893,0.94856,0.68868,1.06698,0.9709,0.93289,0.001406,0.001406,0.001406
5,455.123,1.01061,0.96867,0.9754,0.9239,0.94924,0.94693,0.68037,1.05254,0.85183,0.89426,0.001208,0.001208,0.001208
6,543.985,0.93683,0.82163,0.9475,0.90968,0.93401,0.95478,0.63495,1.16397,0.86,0.95249,0.00101,0.00101,0.00101
7,641.068,0.87773,0.73198,0.93092,0.92501,0.95431,0.95629,0.72498,0.98475,0.7182,0.87933,0.000812,0.000812,0.000812
8,739.222,0.86225,0.69061,0.9258,0.92416,0.95431,0.94128,0.70258,0.9915,0.72065,0.88232,0.000614,0.000614,0.000614
9,832.55,0.79741,0.61417,0.90059,0.92459,0.94924,0.972,0.72127,1.01732,0.68021,0.85878,0.000416,0.000416,0.000416
10,926.389,0.7607,0.59035,0.89616,0.91925,0.93401,0.95854,0.73479,0.94316,0.68358,0.85086,0.000218,0.000218,0.000218
