epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.765,1.40963,2.45127,1.156,0.00315,0.95939,0.4662,0.2409,1.17486,3.41661,1.04231,0.000653595,0.000653595,0.000653595
2,1181.67,1.1517,1.41843,1.04024,0.91338,0.90998,0.92078,0.65221,0.99274,1.7522,0.91724,0.00126798,0.00126798,0.00126798
3,1810.09,1.07671,1.14535,1.00417,0.99433,0.89071,0.96259,0.67777,1.0608,1.09177,0.93143,0.00182956,0.00182956,0.00182956
4,2419.08,1.06766,1.05315,1.02164,0.88099,0.93946,0.93386,0.65128,1.04044,1.04956,0.94938,0.0017624,0.0017624,0.0017624
5,2859.13,1.04293,0.86567,1.00061,0.98074,0.92386,0.95244,0.69232,1.02931,0.98349,0.95816,0.0016832,0.0016832,0.0016832
6,3376.56,0.99524,0.7836,0.99624,0.96261,0.91491,0.95487,0.6957,0.98088,0.75932,0.90358,0.001604,0.001604,0.001604
7,4003.4,0.96905,0.72955,0.97587,0.9537,0.93401,0.95291,0.70267,0.90249,0.711,0.90293,0.0015248,0.0015248,0.0015248
8,4445.24,0.92142,0.67855,0.95479,0.95198,0.94924,0.96957,0.76258,0.85962,0.68207,0.89322,0.0014456,0.0014456,0.0014456
9,4777.62,0.91162,0.63551,0.9513,0.93763,0.93909,0.97035,0.75986,0.88973,0.62445,0.88511,0.0013664,0.0013664,0.0013664
10,5110.58,0.86928,0.6024,0.93606,0.97371,0.93988,0.97095,0.7504,0.9009,0.59338,0.90339,0.0012872,0.0012872,0.0012872
11,6473.63,0.84912,0.57354,0.93785,0.97603,0.93401,0.97158,0.7467,0.8894,0.587,0.89563,0.001208,0.001208,0.001208
12,8186.65,0.83806,0.57633,0.93679,0.97898,0.92386,0.96211,0.69739,0.97755,0.63358,0.97335,0.0011288,0.0011288,0.0011288
13,10476.5,0.80924,0.54378,0.91476,1,0.93817,0.97495,0.77654,0.81691,0.52151,0.8792,0.0010496,0.0010496,0.0010496
14,11873.2,0.79157,0.51948,0.90861,0.96854,0.93909,0.97786,0.79242,0.78253,0.53075,0.8412,0.0009704,0.0009704,0.0009704
15,12218.6,0.77424,0.51639,0.90406,0.9806,0.91878,0.97201,0.76619,0.81209,0.53009,0.86663,0.0008912,0.0008912,0.0008912
16,12565.2,0.72905,0.50664,0.89146,0.94987,0.96174,0.97336,0.80622,0.79115,0.52654,0.86772,0.000812,0.000812,0.000812
17,12913.2,0.70319,0.46702,0.8815,0.93833,0.96447,0.97327,0.77608,0.82345,0.53516,0.87881,0.0007328,0.0007328,0.0007328
18,13260.4,0.70368,0.45607,0.88871,0.95408,0.94922,0.96982,0.77613,0.82982,0.52731,0.87078,0.0006536,0.0006536,0.0006536
19,13608.9,0.68158,0.45133,0.88111,0.92916,0.95431,0.95641,0.78251,0.75083,0.52709,0.84352,0.0005744,0.0005744,0.0005744
20,15525.7,0.66583,0.43184,0.87299,0.97699,0.92386,0.97564,0.80187,0.73678,0.50203,0.8379,0.0004952,0.0004952,0.0004952
21,16118,0.67133,0.42431,0.86789,0.9294,0.96447,0.97847,0.80765,0.71721,0.47482,0.83653,0.000416,0.000416,0.000416
22,16505.6,0.63518,0.4139,0.86949,0.9679,0.92893,0.97901,0.81792,0.72375,0.46346,0.84135,0.0003368,0.0003368,0.0003368
23,16917.6,0.62624,0.40154,0.86084,0.92241,0.96552,0.97818,0.79446,0.74183,0.48282,0.84102,0.0002576,0.0002576,0.0002576
24,17332.3,0.59689,0.387,0.85017,0.91616,0.96447,0.97739,0.81211,0.73318,0.47315,0.83992,0.0001784,0.0001784,0.0001784
25,17746.9,0.59885,0.38633,0.8578,0.93023,0.95939,0.97794,0.79979,0.72164,0.4693,0.83716,9.92e-05,9.92e-05,9.92e-05
