epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9528,2.38896,4.97442,1.64596,0.00246,0.77778,0.0024,0.0011,1.61781,5.23409,1.41127,0.0001,0.0001,0.0001
2,70.4022,1.76891,3.82147,1.3215,0.00316,1,0.0056,0.00289,1.41143,4.87086,1.27329,0.000211288,0.000211288,0.000211288
3,105.318,1.59255,2.89408,1.21926,0.00298,0.94444,0.00419,0.00177,1.47848,4.9981,1.32594,0.000313072,0.000313072,0.000313072
4,141.829,1.43264,2.38626,1.16994,0.00263,0.83333,0.00397,0.00234,1.34993,4.9407,1.24465,0.000405352,0.000405352,0.000405352
5,175.182,1.4889,1.94199,1.16549,0.00281,0.88889,0.0054,0.00306,1.28582,4.67478,1.16539,0.000488128,0.000488128,0.000488128
6,207.911,1.39249,2.46976,1.11307,0.00298,0.94444,0.0088,0.00391,1.28005,4.45873,1.12206,0.0005614,0.0005614,0.0005614
7,240.585,1.47743,2.26739,1.19502,0.00316,1,0.00969,0.00564,1.27239,4.29421,1.073,0.000625168,0.000625168,0.000625168
8,273.093,1.37168,1.90923,1.09513,0.00316,1,0.12837,0.07702,1.38102,4.23598,1.12357,0.000679432,0.000679432,0.000679432
9,305.717,1.64888,2.03611,1.16452,0.00316,1,0.77898,0.45271,1.45696,3.88905,1.14126,0.000724192,0.000724192,0.000724192
10,338.508,1.26878,1.70039,1.0854,0.00833,1,0.93657,0.51212,1.46409,3.77931,1.14125,0.000759448,0.000759448,0.000759448
11,371.014,1.44737,1.67109,1.15586,1,0.2892,0.9021,0.44994,1.50202,3.96036,1.24391,0.0007852,0.0007852,0.0007852
12,403.636,1.28331,1.59127,1.06898,1,0.1807,0.85148,0.42349,1.64209,3.94631,1.38061,0.000801448,0.000801448,0.000801448
13,436.255,1.38705,1.46574,1.07948,1,0.38035,0.86234,0.40212,1.66894,3.73359,1.35493,0.000808192,0.000808192,0.000808192
14,469.66,1.34212,1.69421,1.10999,0.8712,0.75245,0.87918,0.44736,1.5944,3.37745,1.19456,0.000805432,0.000805432,0.000805432
15,507.044,1.4571,1.52261,1.12803,0.88444,0.83333,0.94068,0.48204,1.51412,3.10644,1.14875,0.000793168,0.000793168,0.000793168
16,539.73,1.37549,1.91123,1.08027,0.97489,0.83333,0.97056,0.52917,1.51784,2.66943,1.1271,0.0007714,0.0007714,0.0007714
17,572.209,1.23112,1.96595,1.04281,1,0.8702,0.96819,0.53956,1.49933,2.72527,1.12695,0.0007328,0.0007328,0.0007328
18,604.586,1.20875,1.75824,1.06279,0.95259,0.88889,0.98258,0.56468,1.43084,2.36516,1.13253,0.0006536,0.0006536,0.0006536
19,636.952,1.1918,1.66469,1.04468,0.95863,0.94444,0.99,0.5821,1.45708,2.24637,1.16757,0.0005744,0.0005744,0.0005744
20,669.476,1.18554,1.62787,1.07644,1,0.90797,0.99,0.59886,1.4324,2.09944,1.15058,0.0004952,0.0004952,0.0004952
21,702.26,1.16182,1.59623,1.0111,0.93902,1,0.995,0.62203,1.41841,2.04546,1.13544,0.000416,0.000416,0.000416
22,735.098,1.11472,1.60422,1.00948,0.94677,1,0.995,0.62823,1.39239,1.9493,1.11135,0.0003368,0.0003368,0.0003368
23,767.928,1.02719,1.55189,0.9923,1,0.99269,0.995,0.62056,1.40449,1.87955,1.1071,0.0002576,0.0002576,0.0002576
24,800.818,1.223,1.91808,1.03054,0.99554,1,0.995,0.61969,1.41435,1.71374,1.10152,0.0001784,0.0001784,0.0001784
25,833.909,1.1318,1.60234,0.98493,0.9921,1,0.995,0.61537,1.42992,1.64775,1.1037,9.92e-05,9.92e-05,9.92e-05
