epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.774,1.40983,3.21784,1.19461,0.00323,0.98477,0.39924,0.28184,1.03491,3.09591,0.88403,0.000653595,0.000653595,0.000653595
2,322.778,1.12178,1.75026,1.03286,0.87537,0.85569,0.93941,0.63285,1.08869,1.47431,0.8912,0.00118956,0.00118956,0.00118956
3,478.753,1.10883,1.43841,1.0058,0.95735,0.88832,0.93286,0.63329,1.11308,1.23252,0.99763,0.00159352,0.00159352,0.00159352
4,637.828,1.09834,1.17316,1.0074,0.94292,0.92234,0.95705,0.68084,1.06934,1.07947,0.89005,0.001406,0.001406,0.001406
5,801.657,0.99315,0.96201,0.96193,0.91229,0.95036,0.89895,0.60371,1.13979,0.95147,0.92687,0.001208,0.001208,0.001208
6,967.649,0.95256,0.84942,0.95131,0.87592,0.93909,0.93921,0.66471,1.01333,0.82949,0.89496,0.00101,0.00101,0.00101
7,1129.62,0.87417,0.74407,0.93276,0.89978,0.94924,0.95065,0.71612,0.98222,0.76448,0.87957,0.000812,0.000812,0.000812
8,1292.66,0.85044,0.68543,0.92613,0.95999,0.93909,0.96867,0.75355,0.9074,0.70941,0.86567,0.000614,0.000614,0.000614
9,1452.07,0.78422,0.62035,0.89936,0.92226,0.96447,0.94845,0.72154,0.89313,0.66217,0.84967,0.000416,0.000416,0.000416
10,1615.54,0.74842,0.59083,0.89398,0.92687,0.96504,0.95705,0.76294,0.82372,0.6421,0.83682,0.000218,0.000218,0.000218
