epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.354,1.31951,0.95454,1.28756,0.93589,0.90781,0.96845,0.72018,0.66306,0.41729,0.71913,0.0033318,0.0033318,0.0033318
2,491.115,1.06163,0.69438,1.10003,0.93399,0.91849,0.96388,0.69209,0.67546,0.41454,0.72259,0.00653316,0.00653316,0.00653316
3,724.266,1.09449,0.70349,1.10808,0.93991,0.88059,0.95247,0.68384,0.68534,0.47548,0.71972,0.00960253,0.00960253,0.00960253
4,954.734,1.08018,0.70656,1.10219,0.93079,0.88157,0.96206,0.6991,0.67414,0.421,0.70244,0.009406,0.009406,0.009406
5,1185.76,1.02026,0.64522,1.07517,0.97008,0.92632,0.98067,0.75874,0.59813,0.34976,0.68559,0.009208,0.009208,0.009208
6,1416.62,0.98025,0.6211,1.05772,0.97888,0.93461,0.9859,0.78555,0.55357,0.32716,0.67074,0.00901,0.00901,0.00901
7,1647.32,0.94385,0.59216,1.04151,0.97569,0.9443,0.98494,0.79574,0.52258,0.30834,0.65179,0.008812,0.008812,0.008812
8,1877.75,0.91904,0.57897,1.03287,0.97724,0.93827,0.97423,0.77824,0.52132,0.29795,0.65152,0.008614,0.008614,0.008614
9,2108.19,0.89435,0.56074,1.01913,0.98146,0.93435,0.97955,0.80272,0.50784,0.28935,0.63955,0.008416,0.008416,0.008416
10,2339.61,0.88403,0.54991,1.01718,0.98349,0.94034,0.98814,0.81112,0.49407,0.27314,0.63377,0.008218,0.008218,0.008218
11,2570.91,0.86721,0.53261,1.01183,0.98161,0.9418,0.98401,0.81904,0.48331,0.2625,0.63475,0.00802,0.00802,0.00802
12,2801.78,0.85822,0.52426,1.00646,0.98477,0.94202,0.9755,0.80743,0.49129,0.25633,0.63306,0.007822,0.007822,0.007822
13,3032.13,0.83751,0.52007,1.00336,0.98597,0.94458,0.98479,0.81175,0.49053,0.25583,0.63091,0.007624,0.007624,0.007624
14,3272.32,0.84065,0.51518,0.99908,0.97858,0.94286,0.98865,0.8206,0.48588,0.25167,0.63005,0.007426,0.007426,0.007426
15,3504.31,0.82695,0.50532,0.99571,0.98085,0.94678,0.98997,0.83317,0.45785,0.24175,0.6235,0.007228,0.007228,0.007228
16,3735.83,0.81596,0.4984,0.99461,0.98855,0.94343,0.99048,0.83581,0.46668,0.23726,0.62706,0.00703,0.00703,0.00703
17,3972.26,0.80612,0.48878,0.98762,0.9851,0.94478,0.99218,0.84279,0.45765,0.23251,0.62241,0.006832,0.006832,0.006832
18,4211.09,0.80216,0.48796,0.9863,0.97475,0.97302,0.99255,0.83994,0.45769,0.23175,0.62306,0.006634,0.006634,0.006634
19,4444.07,0.79374,0.48078,0.98339,0.97886,0.97479,0.99243,0.84088,0.45745,0.22894,0.62469,0.006436,0.006436,0.006436
20,4679.28,0.78491,0.47303,0.97975,0.96025,0.97445,0.99209,0.84631,0.44284,0.22634,0.61674,0.006238,0.006238,0.006238
21,4912.02,0.78318,0.4728,0.97958,0.98453,0.94706,0.99191,0.84091,0.44805,0.22624,0.6158,0.00604,0.00604,0.00604
22,5141.76,0.77089,0.46537,0.97724,0.9855,0.94622,0.99196,0.8388,0.45041,0.22386,0.61734,0.005842,0.005842,0.005842
23,5368.68,0.77029,0.45983,0.97639,0.95684,0.97731,0.99204,0.84284,0.44275,0.22057,0.61571,0.005644,0.005644,0.005644
24,5597.26,0.76781,0.46018,0.97487,0.95831,0.98526,0.99214,0.84138,0.44418,0.22072,0.61583,0.005446,0.005446,0.005446
25,5831.1,0.75342,0.4494,0.9691,0.96039,0.97812,0.99237,0.84346,0.44687,0.22063,0.61636,0.005248,0.005248,0.005248
26,6074.54,0.74821,0.45272,0.9672,0.96232,0.98151,0.99257,0.84773,0.4446,0.21869,0.61564,0.00505,0.00505,0.00505
