epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7979,1.48691,3.46743,1.23363,0.00312,0.94924,0.04121,0.01921,1.24696,3.35018,1.12742,0.000653595,0.000653595,0.000653595
2,24.4738,1.19294,1.9044,1.0573,0.96027,0.85787,0.94931,0.58942,1.34116,1.12767,1.01616,0.00118956,0.00118956,0.00118956
3,29.0945,1.12575,1.50908,1.03721,0.98275,0.90355,0.95654,0.59513,1.20451,1.2003,0.95633,0.00159352,0.00159352,0.00159352
4,33.8079,1.04966,1.17611,1.00651,0.95802,0.92676,0.96316,0.63352,1.10648,0.88639,0.93393,0.001406,0.001406,0.001406
5,38.3766,1.02307,0.99576,0.97722,0.93858,0.93083,0.96066,0.71574,0.95286,0.70351,0.89001,0.001208,0.001208,0.001208
6,42.9368,0.9579,0.86048,0.96063,0.93205,0.95431,0.95487,0.73502,0.89374,0.618,0.85939,0.00101,0.00101,0.00101
7,47.4632,0.88641,0.76803,0.93873,0.92121,0.94416,0.9609,0.72656,0.91746,0.66385,0.86583,0.000812,0.000812,0.000812
8,51.9579,0.83811,0.72026,0.9273,0.93949,0.94583,0.96894,0.74866,0.87679,0.58187,0.86066,0.000614,0.000614,0.000614
9,56.4829,0.79704,0.63746,0.90241,0.99465,0.94365,0.97672,0.75559,0.85394,0.51826,0.83573,0.000416,0.000416,0.000416
10,60.944,0.75535,0.5981,0.87871,0.94052,0.96322,0.97788,0.77465,0.7964,0.5173,0.83342,0.000218,0.000218,0.000218
