epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2256,1.43446,2.5154,1.17776,0.00327,0.99492,0.66705,0.48981,1.06253,3.22907,0.91829,0.000653595,0.000653595,0.000653595
2,30.0477,1.13667,1.41275,1.01768,0.90073,0.7665,0.88435,0.54653,1.17471,2.1026,1.00708,0.00126798,0.00126798,0.00126798
3,44.5445,1.10741,1.19006,1.02105,0.91442,0.84772,0.91469,0.6412,1.15294,1.24238,0.9966,0.00182956,0.00182956,0.00182956
4,59.0908,1.10161,1.01613,1.0075,0.92534,0.91371,0.9515,0.68786,1.01254,0.99296,0.88211,0.0017624,0.0017624,0.0017624
5,73.721,1.03032,0.85596,0.99293,0.94951,0.8731,0.95047,0.69654,1.00883,0.84196,0.89607,0.0016832,0.0016832,0.0016832
6,88.2741,0.99483,0.79211,0.98695,0.93498,0.94891,0.95511,0.72543,0.91122,1.07383,0.91703,0.001604,0.001604,0.001604
7,102.853,0.95979,0.72298,0.97549,0.9536,0.93887,0.95555,0.73367,0.90489,0.76363,0.87643,0.0015248,0.0015248,0.0015248
8,117.403,0.94199,0.67787,0.96988,0.84992,0.91989,0.93177,0.69367,0.96647,0.91416,0.93955,0.0014456,0.0014456,0.0014456
9,132.295,0.90765,0.64671,0.95072,0.92247,0.93909,0.95214,0.73922,0.91091,0.67343,0.88989,0.0013664,0.0013664,0.0013664
10,147.367,0.88919,0.61827,0.95089,0.92137,0.93401,0.96033,0.72565,0.92378,0.7024,0.88562,0.0012872,0.0012872,0.0012872
11,162.41,0.83825,0.59477,0.93039,0.95461,0.94416,0.96809,0.7935,0.75632,0.57849,0.83358,0.001208,0.001208,0.001208
12,177.396,0.82655,0.56405,0.92618,0.93093,0.95777,0.95141,0.75119,0.7964,0.60217,0.85344,0.0011288,0.0011288,0.0011288
13,192.277,0.81866,0.54865,0.91953,0.92018,0.93633,0.94041,0.72298,0.80455,0.66922,0.87568,0.0010496,0.0010496,0.0010496
14,208.084,0.78564,0.53383,0.9095,0.93133,0.93401,0.96252,0.77252,0.79387,0.59731,0.85593,0.0009704,0.0009704,0.0009704
15,223.445,0.78971,0.52106,0.9122,0.93454,0.94204,0.93664,0.74403,0.80564,0.57585,0.84848,0.0008912,0.0008912,0.0008912
16,251.528,0.72984,0.48149,0.88791,0.94188,0.92386,0.9828,0.77948,0.84746,0.57259,0.87039,0.000812,0.000812,0.000812
17,267.369,0.72387,0.46338,0.88458,0.92233,0.96441,0.9739,0.78228,0.80587,0.53874,0.84519,0.0007328,0.0007328,0.0007328
18,281.922,0.72414,0.46524,0.89366,0.89466,0.94847,0.9659,0.76888,0.81905,0.57278,0.85803,0.0006536,0.0006536,0.0006536
19,297.218,0.67736,0.45118,0.8771,0.91611,0.96447,0.97004,0.77748,0.82097,0.57007,0.84929,0.0005744,0.0005744,0.0005744
20,312.156,0.67422,0.44031,0.88224,0.92211,0.96954,0.96083,0.77081,0.75149,0.53383,0.84254,0.0004952,0.0004952,0.0004952
21,328.457,0.65788,0.421,0.87678,0.93784,0.94416,0.97812,0.80386,0.79897,0.52496,0.8601,0.000416,0.000416,0.000416
22,343.077,0.63546,0.40725,0.86183,0.9395,0.94585,0.97734,0.80696,0.75085,0.53133,0.84974,0.0003368,0.0003368,0.0003368
23,357.697,0.61762,0.40618,0.85492,0.91314,0.96061,0.97609,0.82123,0.74003,0.52671,0.84431,0.0002576,0.0002576,0.0002576
24,372.307,0.60705,0.39364,0.85295,0.92118,0.94915,0.97597,0.82591,0.71944,0.51616,0.83405,0.0001784,0.0001784,0.0001784
25,386.925,0.58036,0.38076,0.84737,0.93811,0.94416,0.97935,0.82811,0.73151,0.50843,0.84163,9.92e-05,9.92e-05,9.92e-05
