epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5753,1.49767,2.67814,1.22499,0.00307,0.93401,0.44512,0.34954,1.0025,3.34285,0.96311,0.000653595,0.000653595,0.000653595
2,18.5278,1.12892,1.4323,1.03282,0.89544,0.86939,0.9241,0.58127,1.27586,1.51994,0.99876,0.00126798,0.00126798,0.00126798
3,27.1049,1.12128,1.20372,1.02996,0.89726,0.90355,0.9342,0.66944,1.01805,1.03091,0.93653,0.00182956,0.00182956,0.00182956
4,35.5868,1.08251,1.0323,1.02006,0.94276,0.91971,0.94298,0.70578,0.96787,0.98765,0.89076,0.0017624,0.0017624,0.0017624
5,43.515,1.04531,0.87308,1.00808,0.96996,0.93909,0.97455,0.73757,0.94,0.6466,0.8893,0.0016832,0.0016832,0.0016832
6,51.3182,0.99872,0.80199,0.98848,0.95789,0.94416,0.96337,0.70712,0.97039,0.66725,0.92076,0.001604,0.001604,0.001604
7,59.2498,0.95847,0.74244,0.97265,0.95585,0.87922,0.9364,0.68352,0.98594,0.79683,0.96944,0.0015248,0.0015248,0.0015248
8,66.9384,0.94329,0.69013,0.98255,0.91168,0.93909,0.96644,0.72132,0.94066,0.69033,0.92283,0.0014456,0.0014456,0.0014456
9,74.8412,0.93805,0.66886,0.97246,0.95899,0.92893,0.96589,0.74396,0.89776,0.64436,0.90158,0.0013664,0.0013664,0.0013664
10,82.8994,0.88066,0.63084,0.95706,0.8942,0.94383,0.9533,0.67249,0.94667,0.72,0.9148,0.0012872,0.0012872,0.0012872
11,90.9134,0.86349,0.603,0.94799,0.97144,0.91878,0.97753,0.75898,0.87991,0.59506,0.89955,0.001208,0.001208,0.001208
12,99.7722,0.83022,0.56968,0.93183,0.95823,0.9316,0.96431,0.7582,0.8575,0.62843,0.88257,0.0011288,0.0011288,0.0011288
13,107.757,0.81191,0.55592,0.92244,0.93339,0.94924,0.9589,0.74795,0.79254,0.63061,0.88139,0.0010496,0.0010496,0.0010496
14,116.075,0.79135,0.53478,0.92139,0.96312,0.92797,0.97343,0.76877,0.83258,0.58087,0.88825,0.0009704,0.0009704,0.0009704
15,123.953,0.80258,0.5342,0.92722,0.93901,0.93779,0.97274,0.78537,0.75433,0.53513,0.84896,0.0008912,0.0008912,0.0008912
16,168.632,0.73226,0.49504,0.89443,0.9335,0.95939,0.97745,0.78595,0.78781,0.5592,0.87005,0.000812,0.000812,0.000812
17,177.911,0.71601,0.47778,0.89025,0.91726,0.92386,0.96475,0.76582,0.8152,0.5571,0.87314,0.0007328,0.0007328,0.0007328
18,187.038,0.72679,0.4741,0.90038,0.90913,0.95431,0.98046,0.78965,0.79302,0.55058,0.8656,0.0006536,0.0006536,0.0006536
19,195.577,0.69944,0.46553,0.89131,0.92634,0.96447,0.96115,0.78272,0.7697,0.5599,0.87643,0.0005744,0.0005744,0.0005744
20,203.312,0.68102,0.44781,0.88563,0.92064,0.96447,0.98061,0.78569,0.76067,0.52756,0.86027,0.0004952,0.0004952,0.0004952
21,211.134,0.65976,0.43153,0.8817,0.97788,0.89754,0.97475,0.79877,0.78146,0.5271,0.88161,0.000416,0.000416,0.000416
22,219.284,0.63178,0.41333,0.86987,0.93215,0.93401,0.96817,0.80794,0.71759,0.52269,0.8582,0.0003368,0.0003368,0.0003368
23,227.817,0.6224,0.41062,0.86176,0.9335,0.93401,0.96895,0.78884,0.74203,0.52208,0.85218,0.0002576,0.0002576,0.0002576
24,236.035,0.61567,0.40443,0.86199,0.93395,0.93311,0.96767,0.80139,0.72502,0.50271,0.84606,0.0001784,0.0001784,0.0001784
25,244.385,0.60063,0.39135,0.85478,0.93188,0.93401,0.97544,0.80795,0.71183,0.49957,0.84925,9.92e-05,9.92e-05,9.92e-05
