epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.72367,1.48939,2.67787,1.22297,0.01144,0.98655,0.89748,0.59084,1.11404,2.94059,0.91662,0.000653595,0.000653595,0.000653595
2,10.7607,1.13941,1.39843,1.03636,0.87967,0.85349,0.91895,0.61373,1.23909,1.89807,0.98634,0.00129412,0.00129412,0.00129412
3,15.8976,1.12545,1.23591,1.0364,0.90434,0.92386,0.93147,0.64908,1.04739,1.14423,0.95543,0.00190825,0.00190825,0.00190825
4,21.0498,1.12455,1.04738,1.03848,0.94767,0.86802,0.93825,0.65435,1.12904,1.70965,1.00315,0.0018812,0.0018812,0.0018812
5,26.4089,1.05184,0.90047,1.0274,0.931,0.91878,0.94799,0.67712,1.00894,0.88488,0.98406,0.0018416,0.0018416,0.0018416
6,31.8093,1.00685,0.80212,0.99593,0.91452,0.95431,0.96789,0.69403,0.97235,0.73872,0.89933,0.001802,0.001802,0.001802
7,37.1695,0.9789,0.75034,0.9901,0.90642,0.93421,0.9574,0.7291,0.93947,0.70547,0.89696,0.0017624,0.0017624,0.0017624
8,41.8754,0.94656,0.68441,0.9918,0.99736,0.92893,0.96795,0.74784,0.85545,0.56786,0.90181,0.0017228,0.0017228,0.0017228
9,46.7712,0.9467,0.67798,0.97924,0.95806,0.92768,0.96902,0.6989,0.99337,0.64389,0.93721,0.0016832,0.0016832,0.0016832
10,51.835,0.93045,0.6662,0.97846,0.89501,0.95201,0.95902,0.7295,0.92437,0.67155,0.93153,0.0016436,0.0016436,0.0016436
11,57.0666,0.90733,0.62552,0.96408,0.94244,0.94416,0.97485,0.77572,0.83492,0.57226,0.87539,0.001604,0.001604,0.001604
12,61.9198,0.8827,0.60606,0.95013,0.92524,0.9424,0.96713,0.75021,0.85452,0.61806,0.90964,0.0015644,0.0015644,0.0015644
13,66.7648,0.86263,0.58803,0.94574,0.92515,0.96447,0.97072,0.76326,0.83011,0.57533,0.89332,0.0015248,0.0015248,0.0015248
14,71.8575,0.83611,0.57828,0.93319,0.92099,0.94678,0.972,0.7242,0.87034,0.61185,0.88021,0.0014852,0.0014852,0.0014852
15,76.7042,0.8346,0.56863,0.94201,0.92871,0.94924,0.95718,0.71638,0.8979,0.64582,0.91803,0.0014456,0.0014456,0.0014456
16,81.7077,0.83316,0.54611,0.93473,0.9633,0.93267,0.96295,0.7013,0.93031,0.61059,0.90537,0.001406,0.001406,0.001406
17,86.6147,0.80519,0.53719,0.92796,0.95947,0.93401,0.96137,0.77578,0.80225,0.5696,0.8661,0.0013664,0.0013664,0.0013664
