epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,788.578,1.41711,3.22063,1.18869,0.00327,0.99492,0.29144,0.18173,1.04766,3.12667,0.89952,0.000653595,0.000653595,0.000653595
2,1589.76,1.13694,1.74702,1.02893,0.8949,0.95092,0.94509,0.65562,1.06519,1.24659,0.90424,0.00118956,0.00118956,0.00118956
3,2307.26,1.16464,1.48144,1.02439,0.77355,0.87817,0.88417,0.60063,1.16666,1.18021,0.97423,0.00159352,0.00159352,0.00159352
4,2920.41,1.075,1.16902,1.00298,0.91734,0.92893,0.95242,0.67934,1.03607,1.18836,0.91141,0.001406,0.001406,0.001406
5,3953.46,1.0306,1.00473,1.00107,0.91627,0.94428,0.96415,0.71638,0.99085,0.795,0.89053,0.001208,0.001208,0.001208
6,4913.53,0.95741,0.8437,0.95275,0.90362,0.95189,0.95304,0.69093,0.98342,0.74511,0.88617,0.00101,0.00101,0.00101
7,5743.78,0.88665,0.74223,0.9346,0.92568,0.94845,0.92172,0.67329,0.93715,0.75125,0.8969,0.000812,0.000812,0.000812
8,6362.74,0.84505,0.68878,0.9246,0.98424,0.95075,0.96832,0.74416,0.88599,0.63135,0.85954,0.000614,0.000614,0.000614
9,7075.07,0.7853,0.62593,0.89567,0.92295,0.94924,0.96492,0.75645,0.82398,0.61857,0.84056,0.000416,0.000416,0.000416
10,8092.85,0.74815,0.59373,0.89495,0.93964,0.94834,0.96832,0.76866,0.80527,0.58298,0.83674,0.000218,0.000218,0.000218
