epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1171.26,1.01811,1.06571,0.979,0.8827,0.93814,0.8967,0.67259,0.88541,0.91495,0.87739,0.000662602,0.000662602,0.000662602
2,2653.99,1.01008,0.84649,0.98563,0.86778,0.89691,0.84699,0.64239,0.89565,0.9346,0.91102,0.00130295,0.00130295,0.00130295
3,4682.28,1.01367,0.7313,0.99119,0.88302,0.91753,0.91096,0.68969,0.91364,0.80149,0.91898,0.0019169,0.0019169,0.0019169
4,6574.32,0.98264,0.65575,0.97485,0.88259,0.93814,0.929,0.66346,0.99181,0.67742,0.97936,0.0018812,0.0018812,0.0018812
5,8633.51,0.94348,0.61638,0.97079,0.84558,0.92784,0.92454,0.69534,0.91681,0.76436,0.89787,0.0018416,0.0018416,0.0018416
6,9965.79,0.9353,0.59584,0.96661,0.87377,0.92784,0.94113,0.69032,0.98391,0.64005,0.9379,0.001802,0.001802,0.001802
7,11224.4,0.89724,0.56747,0.95329,0.87345,0.92784,0.89414,0.66454,0.9324,0.64072,0.93116,0.0017624,0.0017624,0.0017624
8,12459.4,0.85799,0.54006,0.93931,0.94113,0.91753,0.96647,0.63134,0.99202,0.61289,0.95803,0.0017228,0.0017228,0.0017228
9,13608.8,0.8676,0.53726,0.93993,0.8657,0.92784,0.83581,0.63494,0.91193,0.61276,0.95274,0.0016832,0.0016832,0.0016832
10,14739.3,0.8253,0.5115,0.93064,0.86407,0.91753,0.94981,0.70082,0.93538,0.56287,0.90862,0.0016436,0.0016436,0.0016436
11,15825.9,0.81826,0.50681,0.92676,0.87047,0.92784,0.81526,0.61837,0.8902,0.59031,0.91261,0.001604,0.001604,0.001604
12,16856.8,0.8146,0.50176,0.92727,0.87118,0.92784,0.93975,0.6823,1.00332,0.62445,0.94163,0.0015644,0.0015644,0.0015644
13,17897.2,0.79771,0.49412,0.92311,0.8736,0.92626,0.89868,0.65908,1.01831,0.60727,0.93389,0.0015248,0.0015248,0.0015248
14,18935.2,0.79972,0.4867,0.92355,0.93283,0.89691,0.9401,0.70616,0.9205,0.52631,0.93285,0.0014852,0.0014852,0.0014852
15,19979.6,0.76956,0.47168,0.91255,0.8834,0.93814,0.9548,0.69822,0.95579,0.58362,0.91024,0.0014456,0.0014456,0.0014456
16,21025.7,0.76016,0.46619,0.90875,0.87317,0.92784,0.94557,0.72632,0.83512,0.53564,0.90434,0.001406,0.001406,0.001406
17,22065.7,0.76366,0.46556,0.91001,0.89391,0.92784,0.93635,0.72831,0.83529,0.52929,0.90588,0.0013664,0.0013664,0.0013664
18,23098.9,0.74873,0.4565,0.90557,0.86891,0.95667,0.95029,0.75437,0.82197,0.53333,0.87472,0.0013268,0.0013268,0.0013268
19,24131.9,0.74384,0.4516,0.90894,0.93891,0.93814,0.96245,0.70993,0.91264,0.56015,0.92492,0.0012872,0.0012872,0.0012872
20,25164.5,0.71926,0.44024,0.89364,0.87377,0.92784,0.95366,0.7618,0.86291,0.54048,0.91532,0.0012476,0.0012476,0.0012476
21,26193.3,0.72677,0.44054,0.89952,0.87319,0.92784,0.93105,0.72544,0.87444,0.53502,0.91305,0.001208,0.001208,0.001208
22,27219.3,0.73331,0.43531,0.90273,0.86775,0.94704,0.95896,0.73117,0.86429,0.55205,0.90967,0.0011684,0.0011684,0.0011684
23,28250.6,0.70425,0.42886,0.89779,0.87375,0.92784,0.95256,0.72699,0.9094,0.51799,0.92736,0.0011288,0.0011288,0.0011288
24,29279,0.70998,0.42707,0.89388,0.91688,0.92784,0.95178,0.76114,0.85956,0.49002,0.9139,0.0010892,0.0010892,0.0010892
25,30305.2,0.70244,0.42019,0.89115,0.87326,0.92784,0.91576,0.69378,0.92023,0.55582,0.92054,0.0010496,0.0010496,0.0010496
26,31331.3,0.68438,0.4104,0.88521,0.87373,0.92784,0.96384,0.78216,0.77291,0.50617,0.85815,0.00101,0.00101,0.00101
27,32358.7,0.67529,0.40968,0.88708,0.87304,0.92784,0.95328,0.72825,0.98237,0.5519,0.975,0.0009704,0.0009704,0.0009704
