epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.573,1.10157,2.5728,1.10943,0.68865,0.58035,0.61854,0.3762,0.72565,32.7886,0.72021,0.000661333,0.000661333,0.000661333
2,597.769,1.16979,1.5927,1.15319,0.84503,0.72886,0.80508,0.51732,0.6774,13.4,0.73214,0.00130171,0.00130171,0.00130171
3,944.536,1.18735,1.20913,1.19629,0.84492,0.80693,0.8927,0.60068,0.65753,5.73775,0.72087,0.00191568,0.00191568,0.00191568
4,1276.02,1.18744,1.00163,1.1898,0.81599,0.89604,0.90739,0.66311,0.60849,2.68716,0.69257,0.0018812,0.0018812,0.0018812
5,1640.15,1.09899,0.90815,1.14036,0.63939,0.68317,0.67956,0.45973,0.67916,2.59959,0.73866,0.0018416,0.0018416,0.0018416
6,1982.45,1.05084,0.82081,1.10751,0.85307,0.74732,0.8697,0.62077,0.56994,5.0317,0.67839,0.001802,0.001802,0.001802
7,2324.2,1.0157,0.76321,1.09959,0.89195,0.87624,0.94521,0.70054,0.58179,1.3069,0.66333,0.0017624,0.0017624,0.0017624
8,2657.98,1.00226,0.74329,1.09944,0.87547,0.84158,0.92355,0.69446,0.54915,1.96813,0.65538,0.0017228,0.0017228,0.0017228
9,2987.63,0.977,0.74816,1.08975,0.86643,0.87624,0.93981,0.71572,0.51931,1.16106,0.63814,0.0016832,0.0016832,0.0016832
10,3316.17,0.96137,0.67626,1.07981,0.87223,0.81107,0.89134,0.66811,0.5247,0.8816,0.66338,0.0016436,0.0016436,0.0016436
11,3645.9,0.93698,0.66982,1.08065,0.84942,0.93564,0.94275,0.68539,0.56088,0.63143,0.67494,0.001604,0.001604,0.001604
12,3977.16,0.93936,0.66261,1.0778,0.89565,0.91584,0.94802,0.73082,0.52064,0.70499,0.63761,0.0015644,0.0015644,0.0015644
13,4308.05,0.91033,0.64507,1.05057,0.8459,0.93069,0.93359,0.71807,0.50191,0.51335,0.64284,0.0015248,0.0015248,0.0015248
14,4646.38,0.89509,0.63577,1.07237,0.90539,0.94753,0.95959,0.75719,0.49474,0.52821,0.64132,0.0014852,0.0014852,0.0014852
15,4976.64,0.8347,0.60483,1.02349,0.92354,0.91584,0.95785,0.74806,0.49594,0.6189,0.62374,0.0014456,0.0014456,0.0014456
16,5306.72,0.85984,0.62996,1.02738,0.90159,0.9071,0.94815,0.72768,0.50164,0.45458,0.63515,0.001406,0.001406,0.001406
17,5636.78,0.89574,0.59552,1.07643,0.92807,0.90594,0.96788,0.76999,0.45037,0.44156,0.619,0.0013664,0.0013664,0.0013664
18,5985.18,0.84583,0.58027,1.03638,0.91319,0.93733,0.95917,0.75525,0.45011,0.39728,0.61448,0.0013268,0.0013268,0.0013268
19,6329.07,0.85311,0.55585,1.03391,0.92592,0.92814,0.96247,0.75474,0.4744,0.41774,0.63911,0.0012872,0.0012872,0.0012872
20,6668.67,0.85592,0.59254,1.04028,0.879,0.94554,0.96266,0.76298,0.45427,0.40038,0.61661,0.0012476,0.0012476,0.0012476
21,6993.95,0.86509,0.56012,1.04759,0.92192,0.93526,0.96383,0.76372,0.46653,0.45102,0.61301,0.001208,0.001208,0.001208
22,7311.39,0.82052,0.54369,1.01239,0.92172,0.94059,0.96597,0.78596,0.43634,0.37957,0.60914,0.0011684,0.0011684,0.0011684
23,7629.18,0.82175,0.55206,1.0285,0.91048,0.9604,0.96251,0.78753,0.42676,0.38235,0.60278,0.0011288,0.0011288,0.0011288
24,7945.95,0.80924,0.52993,1.02305,0.93219,0.9527,0.96555,0.78384,0.42123,0.36277,0.59162,0.0010892,0.0010892,0.0010892
25,8263.04,0.81055,0.54883,1.01555,0.92618,0.93564,0.96442,0.76827,0.45417,0.46052,0.62054,0.0010496,0.0010496,0.0010496
26,8580.41,0.8157,0.5337,1.03075,0.93115,0.93564,0.96546,0.78278,0.44852,0.3971,0.61481,0.00101,0.00101,0.00101
27,8897.92,0.79341,0.52327,1.01245,0.89747,0.95331,0.95963,0.78004,0.42525,0.3979,0.59435,0.0009704,0.0009704,0.0009704
28,9215.5,0.80126,0.52009,1.02913,0.93123,0.93858,0.9695,0.79789,0.42276,0.34361,0.60007,0.0009308,0.0009308,0.0009308
29,9533.25,0.75869,0.49065,0.97961,0.93058,0.92574,0.95878,0.78868,0.4057,0.34727,0.60152,0.0008912,0.0008912,0.0008912
30,9851.16,0.7449,0.51188,0.99572,0.93799,0.94554,0.9672,0.78907,0.41746,0.35232,0.59738,0.0008516,0.0008516,0.0008516
31,10168.5,0.76188,0.50367,1.00123,0.92399,0.96288,0.97036,0.78189,0.43685,0.3291,0.60536,0.000812,0.000812,0.000812
32,10486.7,0.7686,0.51055,1.01142,0.91116,0.92574,0.95643,0.79292,0.44839,0.41947,0.60997,0.0007724,0.0007724,0.0007724
33,10804.5,0.76124,0.48683,0.99844,0.93984,0.94059,0.96252,0.7944,0.4272,0.36302,0.60361,0.0007328,0.0007328,0.0007328
34,11121.4,0.7327,0.50431,0.97584,0.91004,0.95154,0.9624,0.78292,0.41804,0.33719,0.59553,0.0006932,0.0006932,0.0006932
35,11438.4,0.71548,0.49862,0.98438,0.93511,0.92745,0.96,0.7801,0.43367,0.45167,0.59624,0.0006536,0.0006536,0.0006536
36,11756,0.7477,0.49341,0.99657,0.94535,0.95545,0.96999,0.77921,0.415,0.31405,0.59372,0.000614,0.000614,0.000614
37,12073.8,0.71676,0.46928,0.99019,0.93109,0.93564,0.95967,0.78196,0.41178,0.40294,0.60759,0.0005744,0.0005744,0.0005744
38,12391.9,0.70258,0.46103,0.97305,0.95494,0.94431,0.96938,0.80393,0.38977,0.3043,0.58722,0.0005348,0.0005348,0.0005348
39,12709.7,0.67374,0.45054,0.96424,0.93892,0.94059,0.96634,0.79682,0.40595,0.3012,0.58758,0.0004952,0.0004952,0.0004952
40,13026.6,0.6798,0.42801,0.9583,0.93694,0.94554,0.97148,0.79978,0.39303,0.30644,0.58984,0.0004556,0.0004556,0.0004556
41,13342.4,0.71531,0.47628,1.03353,0.92836,0.93069,0.9642,0.80018,0.41018,0.33475,0.59038,0.000416,0.000416,0.000416
42,13657.6,0.69749,0.47042,1.00907,0.94503,0.93615,0.96363,0.78955,0.41857,0.35897,0.59895,0.0003764,0.0003764,0.0003764
43,13973.1,0.68549,0.46008,0.99731,0.93746,0.95545,0.96946,0.8033,0.39514,0.32876,0.59166,0.0003368,0.0003368,0.0003368
44,14287.6,0.67252,0.43416,0.99022,0.955,0.94563,0.96956,0.8025,0.39713,0.29339,0.59092,0.0002972,0.0002972,0.0002972
45,14602.1,0.66601,0.45344,0.99164,0.94962,0.93321,0.96552,0.79859,0.39081,0.28081,0.58547,0.0002576,0.0002576,0.0002576
